keyword;mapel;bobot
EKONOMI;Ekonomi;5
EKONOMI;Matematika Tingkat Lanjut;4
KEHUTANAN;Biologi;5
KEHUTANAN;Kimia;4
KESEJAHTERAAN SOSIAL;Sosiologi;5
KESEJAHTERAAN SOSIAL;Ekonomi;4
METROLOGI;Fisika;5
METROLOGI;Matematika;4
INSTRUMENTASI;Fisika;5
INSTRUMENTASI;Matematika;4
PERPAJAKAN;Ekonomi;5
PERPAJAKAN;Matematika Tingkat Lanjut;4
KEOLAHRAGAAN;Bahasa Indonesia;5
KEOLAHRAGAAN;Matematika;4
GEOGRAFI;Geografi;5
GEOGRAFI;Sosiologi;4
PANCASILA;Bahasa Indonesia;5
PANCASILA;PPKN;4
KEWARGANEGARAAN;Bahasa Indonesia;5
KEWARGANEGARAAN;PPKN;4
ILMU TANAH;Biologi;5
ILMU TANAH;Kimia;4
GEODESI;Fisika;5
GEODESI;Matematika;4
REKAYASA;Fisika;5
REKAYASA;Matematika;4
ANTROPOLOGI;Sosiologi;5
ANTROPOLOGI;Antropologi;4
BISNIS;Ekonomi;5
BISNIS;Matematika Tingkat Lanjut;4
FISKAL;Ekonomi;5
FISKAL;Matematika;4
HUBUNGAN MASYARAKAT;Sosiologi;5
HUBUNGAN MASYARAKAT;Bahasa Indonesia;4
SEKOLAH ILMU DAN TEKNOLOGI HAYATI - SAINS (SITH-S);Biologi;5
SEKOLAH ILMU DAN TEKNOLOGI HAYATI - SAINS (SITH-S);Kimia;4
SEKOLAH ILMU DAN TEKNOLOGI HAYATI - REKAYASA (SITH-R);Biologi;5
SEKOLAH ILMU DAN TEKNOLOGI HAYATI - REKAYASA (SITH-R);Kimia;4
SEKOLAH ILMU DAN TEKNOLOGI HAYATI - KAMPUS CIREBON (SITH-C);Biologi;5
SEKOLAH ILMU DAN TEKNOLOGI HAYATI - KAMPUS CIREBON (SITH-C);Kimia;4
FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM);Fisika;5
FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM);Matematika Tingkat Lanjut;4
FAKULTAS TEKNIK MESIN DAN DIRGANTARA (FTMD);Fisika;5
FAKULTAS TEKNIK MESIN DAN DIRGANTARA (FTMD);Matematika Tingkat Lanjut;4
SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN (SAPPK);Fisika;5
SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN (SAPPK);Matematika Tingkat Lanjut;4
FAKULTAS TEKNOLOGI INDUSTRI - KAMPUS CIREBON (FTI-C);Fisika;5
FAKULTAS TEKNOLOGI INDUSTRI - KAMPUS CIREBON (FTI-C);Matematika Tingkat Lanjut;4
SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN - KAMPUS CIREBON (SAPPK-C);Fisika;5
SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN - KAMPUS CIREBON (SAPPK-C);Matematika Tingkat Lanjut;4
FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN - KAMPUS CIREBON (FTTM-C);Fisika;5
FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN - KAMPUS CIREBON (FTTM-C);Matematika Tingkat Lanjut;4
FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN - KAMPUS CIREBON (FITB-C);Fisika;5
