A (Jurusan Asal);B (Alternatif);;;;;;
FAKULTAS SENIRUPA DAN DESAIN (FSRD);desain;interior;produk;mode;;;
FAKULTAS SENIRUPA DAN DESAIN - KAMPUS CIREBON (FSRD-C);desain komunikasi visual;fashion;;;;;
FAKULTAS TEKNIK MESIN DAN DIRGANTARA (FTMD);Mesin;Teknik Mesin;Pendidikan Teknik Mesin;energi;alat berat;aeronautika;aero
HUBUNGAN MASYARAKAT;Hubungan Masyarakat;KOMUNIIKASI;;;;;
MANAJEMEN PRODUKSI MEDIA;KOMUNIKASI;MEDIA;MULTIMEDIA;;;;
Produksi Media;Komunikasi;Media;Multimedia;;;;
FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM);Pertambangan;Perminyakan;;;;;
FAKULTAS SENIRUPA DAN DESAIN - KAMPUS CIREBON (FSRD-C);desain komunikasi visual;Desain Produk;desain interior;;;;
SEKOLAH ILMU DAN TEKNOLOGI HAYATI - SAINS (SITH-S);biologi;kimia;biomedis;;;;
SEKOLAH ILMU DAN TEKNOLOGI HAYATI - REKAYASA (SITH-R);pertanian;kehutanan;biokimia;kimia;biologi;;
FAKULTAS TEKNOLOGI INDUSTRI - KAMPUS CIREBON (FTI-C);industri;teknologi industri;;;;;
SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN - KAMPUS CIREBON (SAPPK-C);arsitektur;perencanaan wilayah kota;pwk;arsitek;;;
SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN (SAPPK);arsitektur;perencanaan wilayah kota;pwk;arsitek;;;
FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN - KAMPUS CIREBON (FTTM-C);Pertambangan;Perminyakan;;;;;
FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN - KAMPUS CIREBON (FITB-C);geologi;geodesi;geografi;geomatika;;;
FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM - MATEMATIKA (FMIPA-M);matematika;aktuaria;;;;;
FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM - IPA (FMIPA-IPA);fisika;kimia;astronomi;;;;
SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA - KOMPUTASI (STEI-K);informatika;elektro;sistem informasi;teknologi informasi;;;
SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA - REKAYASA (STEI-R);elektro;telekomunikasi;;;;;
seni karawitan;karawitan;karawitan;teater;tari;;;
seni tari;tari;teater;;;;;
desain komunikasi visual;desain komunikasi visual;desain produk;desain interior;desain grafis;multimedia;;
desain interior;desain interior;desain produk;desain komunikasi visual;;;;
MANAJEMEN PRODUKSI MEDIA;multimedia;film;komunikasi;;;;
akuntansi;akuntansi;;;;;;
kehutanan;kehutanan;hutan;;;;;
