Kode PTN,Nama Kampus,Kode Jurusan,Nama Jurusan,Jenjang,Portofolio,Peminat 2024,Daya Tampung 2024,Peminat 2025,Daya Tampung 2025,Link Detail
1192,"ITERA",'11921039,"REKAYASA KOSMETIK","Sarjana","Tidak Ada",225,32,273,32,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=192&prodi=192039&jenis=0"
1192,"ITERA",'11921040,"PARIWISATA","Sarjana","Tidak Ada",156,18,212,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=192&prodi=192040&jenis=0"
1192,"ITERA",'11921041,"REKAYASA KEOLAHRAGAAN","Sarjana","Tidak Ada",19,21,46,21,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=192&prodi=192041&jenis=0"
1311,"UNTIRTA",'13111001,"TEKNIK MESIN","Sarjana","Tidak Ada",404,50,474,55,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311001&jenis=0"
1311,"UNTIRTA",'13111002,"TEKNIK ELEKTRO","Sarjana","Tidak Ada",445,50,561,55,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311002&jenis=0"
1311,"UNTIRTA",'13111003,"TEKNIK INDUSTRI","Sarjana","Tidak Ada",879,50,1139,55,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311003&jenis=0"
1311,"UNTIRTA",'13111004,"TEKNIK METALURGI","Sarjana","Tidak Ada",304,50,586,50,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311004&jenis=0"
1311,"UNTIRTA",'13111005,"TEKNIK KIMIA","Sarjana","Tidak Ada",398,50,475,55,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311005&jenis=0"
1311,"UNTIRTA",'13111006,"TEKNIK SIPIL","Sarjana","Tidak Ada",484,50,619,55,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311006&jenis=0"
1311,"UNTIRTA",'13111007,"AGRIBISNIS","Sarjana","Tidak Ada",429,81,538,81,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311007&jenis=0"
1311,"UNTIRTA",'13111008,"AGROEKOTEKNOLOGI","Sarjana","Tidak Ada",327,90,478,90,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311008&jenis=0"
1311,"UNTIRTA",'13111009,"ILMU PERIKANAN","Sarjana","Tidak Ada",156,57,174,57,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311009&jenis=0"
1311,"UNTIRTA",'13111010,"PENDIDIKAN BIOLOGI","Sarjana","Tidak Ada",260,40,337,50,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311010&jenis=0"
1311,"UNTIRTA",'13111011,"PENDIDIKAN MATEMATIKA","Sarjana","Tidak Ada",293,60,319,71,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311011&jenis=0"
1311,"UNTIRTA",'13111012,"PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO","Sarjana","Tidak Ada",80,30,101,30,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311012&jenis=0"
1311,"UNTIRTA",'13111013,"PENDIDIKAN VOKASIONAL TEKNIK MESIN","Sarjana","Tidak Ada",69,30,81,31,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311013&jenis=0"
1311,"UNTIRTA",'13111014,"PENDIDIKAN FISIKA","Sarjana","Tidak Ada",106,31,141,31,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311014&jenis=0"
1311,"UNTIRTA",'13111015,"PENDIDIKAN KIMIA","Sarjana","Tidak Ada",154,37,181,45,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311015&jenis=0"
1311,"UNTIRTA",'13111016,"PENDIDIKAN IPA","Sarjana","Tidak Ada",163,30,159,35,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311016&jenis=0"
1311,"UNTIRTA",'13111017,"TEKNOLOGI PANGAN","Sarjana","Tidak Ada",511,47,568,47,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311017&jenis=0"
1311,"UNTIRTA",'13111018,"ILMU KEOLAHRAGAAN","Sarjana","Olahraga",135,15,154,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311018&jenis=0"
1311,"UNTIRTA",'13111019,"GIZI","Sarjana","Tidak Ada",589,15,658,17,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311019&jenis=0"
1311,"UNTIRTA",'13111020,"KEDOKTERAN","Sarjana","Tidak Ada",562,12,511,12,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311020&jenis=0"
1311,"UNTIRTA",'13111021,"INFORMATIKA","Sarjana","Tidak Ada",1096,30,1176,50,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311021&jenis=0"
1311,"UNTIRTA",'13111022,"KEPERAWATAN","Sarjana","Tidak Ada",1089,17,1137,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311022&jenis=0"
1311,"UNTIRTA",'13111023,"ILMU KELAUTAN","Sarjana","Tidak Ada",200,40,207,40,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311023&jenis=0"
1311,"UNTIRTA",'13111024,"HUKUM","Sarjana","Tidak Ada",1087,157,1017,168,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311024&jenis=0"
1311,"UNTIRTA",'13111025,"MANAJEMEN","Sarjana","Tidak Ada",2086,67,1814,78,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311025&jenis=0"
1311,"UNTIRTA",'13111026,"AKUNTANSI","Sarjana","Tidak Ada",1115,67,1275,78,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311026&jenis=0"
1311,"UNTIRTA",'13111027,"EKONOMI PEMBANGUNAN","Sarjana","Tidak Ada",351,37,457,62,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311027&jenis=0"
1311,"UNTIRTA",'13111028,"ADMINISTRASI PUBLIK","Sarjana","Tidak Ada",861,67,1063,70,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311028&jenis=0"
1311,"UNTIRTA",'13111029,"ILMU KOMUNIKASI","Sarjana","Tidak Ada",1542,77,1529,85,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311029&jenis=0"
1311,"UNTIRTA",'13111030,"PENDIDIKAN NON FORMAL","Sarjana","Tidak Ada",71,37,99,38,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311030&jenis=0"
1311,"UNTIRTA",'13111031,"PENDIDIKAN BAHASA INDONESIA","Sarjana","Tidak Ada",492,60,506,71,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311031&jenis=0"
1311,"UNTIRTA",'13111032,"PENDIDIKAN BAHASA INGGRIS","Sarjana","Tidak Ada",527,47,525,65,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311032&jenis=0"
